chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
111.7,42.0,921,1833,XL
111.4,43.1,966,1694,XL
104.1,40.5,798,1668,L
110.6,42.5,955,1814,XL
127.7,43.9,1142,1811,3XL
97.7,40.3,698,1771,M
91.2,39.8,594,1665,S
104.2,42.5,892,1827,L
104.9,40.5,879,1791,L
110.8,42.2,1007,1822,XL
126.1,44.5,1192,1838,3XL
98.4,43.9,809,1842,M
130.2,43.5,1256,1801,3XL
90.7,38.1,632,1607,S
93.9,42.1,746,1792,S
122.8,41.4,1083,1746,3XL
111.8,43.5,940,1780,XL
127.7,43.7,1183,1805,3XL
98.7,40.7,789,1723,M
104.8,41.4,804,1745,L
97.9,38.8,727,1715,M
111.7,40.8,908,1763,XL
111.4,43.4,953,1740,XL
110.2,43.1,840,1771,XL
90.7,38.9,646,1701,S
111.2,41.4,915,1721,XL
125.1,43.5,1108,1811,3XL
97.7,37.4,710,1672,M
122.3,44.3,1067,1770,3XL
128.3,44.6,1158,1811,3XL
104.8,40.6,772,1690,L
84.7,41.2,694,1927,XS
99.3,42.4,793,1737,M
123.2,44.4,1139,1745,3XL
105.4,40.1,972,1824,L
88.1,38.8,594,1670,S
92.5,38.6,691,1655,S
104.7,39.5,741,1696,L
111.3,42.3,877,1790,XL
105.3,41.9,946,1774,L
105.9,41.9,833,1698,L
111.9,45.2,926,1807,XL
97.7,40.3,716,1641,M
110.4,42.7,940,1778,XL
90.4,39.6,598,1664,S
97.3,39.4,734,1759,M
92.3,41.6,657,1714,S
99.8,39.3,664,1628,M
110.7,39.6,910,1678,XL
117.2,42.4,1034,1756,2XL
83.8,37.9,587,1685,XS
104.3,41.9,787,1740,L
93.6,38.6,631,1680,S
104.7,42.6,910,1758,L
116.5,41.0,1066,1861,2XL
116.5,45.0,1083,1850,2XL
86.2,37.7,575,1651,XS
96.7,44.3,808,1835,M
99.2,40.2,766,1864,M
137.2,48.3,1429,1867,3XL
117.8,43.6,943,1745,2XL
104.3,41.5,817,1717,L
98.9,42.3,701,1735,M
88.0,38.4,523,1603,S
93.9,39.5,687,1801,S
104.8,40.5,778,1702,L
116.4,41.5,894,1773,2XL
90.4,39.9,678,1765,S
104.3,41.9,818,1790,L
117.2,44.4,1047,1792,2XL
116.5,41.3,956,1767,2XL
92.8,39.8,689,1678,S
111.2,41.3,909,1728,XL
104.3,41.4,822,1730,L
97.1,39.9,698,1800,M
88.9,42.5,656,1753,S
111.3,40.1,892,1719,XL
91.4,39.1,659,1696,S
99.3,39.9,796,1671,M
99.3,41.0,804,1741,M
110.1,41.2,995,1813,XL
94.9,43.1,720,1797,M
116.8,43.2,1054,1752,2XL
99.2,39.3,798,1767,M
104.2,43.6,843,1802,L
97.1,43.9,686,1772,M
110.4,41.7,970,1849,XL
110.1,41.1,846,1727,XL
99.1,41.5,819,1809,M
110.7,42.2,920,1785,XL
99.4,40.3,811,1732,M
89.6,39.8,579,1644,S
97.7,38.6,668,1715,M
97.5,39.0,802,1658,M
104.9,42.1,778,1638,L
98.5,41.7,772,1799,M
111.3,42.3,904,1826,XL
111.6,40.4,916,1792,XL
103.9,45.8,828,1854,L
99.9,40.1,749,1691,M
104.1,38.9,726,1711,L
93.3,37.1,639,1640,S
90.8,38.0,643,1670,S
111.2,44.5,916,1785,XL
116.1,44.8,1051,1871,2XL
92.9,43.1,650,1736,S
104.3,40.5,798,1700,L
111.1,44.5,1017,1828,XL
123.7,42.2,1082,1714,3XL
111.9,43.1,1077,1842,XL
125.8,46.1,1292,1909,3XL
93.8,40.0,661,1726,S
98.5,43.7,728,1726,M
98.5,42.2,657,1670,M
104.6,39.0,781,1630,L
111.4,44.2,916,1796,XL
