chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
104.5,37.7,740,1666,2XL
105.6,36.7,804,1558,2XL
85.2,38.3,624,1553,M
99.0,42.1,875,1798,XL
88.8,37.8,650,1641,M
84.8,39.6,650,1718,M
105.3,34.4,962,1697,2XL
116.7,38.2,930,1703,3XL
82.6,35.1,489,1567,S
81.8,35.0,536,1554,S
81.8,39.0,510,1625,S
93.1,36.5,650,1617,L
105.3,33.6,719,1635,2XL
93.5,37.1,793,1630,L
88.2,35.9,688,1613,M
105.3,39.2,765,1687,2XL
88.7,36.1,590,1613,M
111.2,36.5,846,1560,3XL
81.4,35.9,618,1664,S
76.4,35.8,469,1567,XS
87.3,37.9,674,1689,M
88.6,33.9,569,1592,M
93.4,35.8,790,1675,L
99.6,36.4,671,1592,XL
88.5,33.2,626,1580,M
87.3,35.8,587,1557,M
88.3,33.7,621,1598,M
82.1,28.3,467,1442,S
82.5,32.1,480,1475,S
105.7,38.7,794,1533,2XL
88.7,36.1,530,1634,M
99.1,35.8,777,1689,XL
87.7,33.3,524,1534,M
88.0,33.5,578,1547,M
82.5,34.6,516,1560,S
79.2,34.6,505,1637,S
88.9,34.7,623,1589,M
88.4,37.9,602,1621,M
113.5,37.5,805,1679,3XL
76.6,37.2,520,1713,XS
88.0,34.3,578,1550,M
83.4,38.1,580,1583,M
93.6,33.9,585,1541,L
105.2,36.1,875,1622,2XL
104.3,36.3,678,1603,2XL
88.4,37.7,649,1616,M
106.5,33.7,744,1612,2XL
77.0,34.2,432,1545,S
87.3,35.6,578,1522,M
114.3,35.1,872,1671,3XL
88.1,36.5,632,1740,M
88.2,34.5,591,1563,M
90.7,40.2,760,1773,L
93.1,34.3,658,1564,L
88.3,35.4,593,1566,M
88.7,37.5,601,1620,M
80.7,36.2,546,1640,S
126.6,38.1,1166,1711,3XL
104.2,38.3,793,1641,2XL
79.1,34.3,454,1567,S
81.4,37.6,499,1629,S
69.5,34.2,358,1479,XS
93.4,37.3,770,1749,L
88.7,37.2,550,1591,M
93.5,38.3,650,1666,L
85.0,38.2,548,1629,M
88.8,34.9,548,1597,M
87.9,35.6,650,1649,M
115.7,37.2,897,1629,3XL
85.0,38.2,525,1615,M
88.8,36.0,537,1582,M
106.2,34.2,752,1608,2XL
88.0,35.7,613,1642,M
99.7,38.4,697,1697,XL
87.0,39.2,602,1691,M
115.2,36.7,952,1598,3XL
79.5,32.4,513,1631,S
93.7,36.8,694,1648,L
82.6,34.9,509,1496,S
87.8,33.2,520,1522,M
104.7,39.9,889,1769,2XL
113.0,36.7,925,1770,3XL
105.3,35.7,669,1534,2XL
88.8,36.2,617,1490,M
93.3,36.6,616,1657,L
118.0,36.2,831,1561,3XL
110.1,36.0,1054,1743,3XL
104.7,36.4,777,1771,2XL
111.3,38.9,802,1585,3XL
109.4,34.7,870,1683,2XL
88.6,35.5,599,1646,M
87.2,37.0,630,1703,M
88.3,36.9,567,1615,M
104.3,36.2,762,1584,2XL
87.9,35.0,601,1574,M
105.4,34.5,821,1610,2XL
99.2,38.4,791,1697,XL
88.4,34.0,568,1632,M
78.7,36.1,521,1571,S
88.1,34.5,652,1589,M
113.1,35.4,827,1650,3XL
122.0,37.1,973,1729,3XL
80.0,35.5,450,1533,S
79.3,35.5,504,1611,S
93.2,33.2,562,1473,L
82.6,35.3,560,1611,S
104.7,39.4,825,1692,2XL
122.2,35.9,988,1599,3XL
110.2,36.0,815,1614,3XL
80.0,33.4,518,1565,S
86.2,39.3,576,1636,M
88.3,35.2,670,1648,M
93.6,35.9,631,1645,L
88.0,37.1,627,1623,M
87.2,35.3,534,1602,M
82.2,33.3,536,1597,S
93.6,38.3,662,1502,L
88.1,34.1,586,1625,M
88.6,34.2,526,1525,M
99.6,39.5,871,1734,XL
87.2,38.0,568,1703,M
99.9,36.6,781,1661,XL
93.8,36.6,663,1634,L
107.5,34.9,732,1664,2XL
104.4,34.4,712,1553,2XL
88.2,38.0,584,1604,M
87.2,36.0,601,1627,M
117.3,38.2,973,1705,3XL
80.3,37.6,553,1661,S
99.8,35.3,782,1560,XL
78.0,33.0,442,1483,S
80.2,36.8,476,1587,S
92.7,40.1,620,1633,L
114.1,38.6,1121,1658,3XL
87.2,35.4,588,1638,M
104.4,36.7,680,1540,2XL
93.8,38.7,696,1662,L
88.5,36.5,600,1519,M
93.2,34.4,712,1566,L
82.0,33.9,475,1529,S
99.9,42.0,812,1766,XL
82.5,36.4,552,1658,S
93.4,37.8,701,1628,L
111.7,36.8,931,1731,3XL
78.0,36.0,510,1628,S
106.3,33.0,839,1706,2XL
110.2,37.1,920,1665,3XL
82.3,33.2,464,1471,S
79.5,37.0,508,1626,S
104.1,36.9,842,1732,2XL
88.4,38.7,601,1587,M
88.7,31.7,549,1598,M
82.6,29.6,452,1524,S
105.5,38.2,835,1683,2XL
87.8,36.3,563,1582,M
99.8,34.5,626,1463,XL
119.8,37.0,992,1659,3XL
88.3,34.0,626,1596,M
105.0,37.8,713,1600,2XL
87.2,35.8,528,1557,M
81.4,36.6,529,1674,S
99.6,36.1,748,1614,XL
99.2,34.4,716,1611,XL
82.9,36.9,502,1612,S
120.3,41.0,1072,1770,3XL
119.6,38.3,940,1668,3XL
114.0,41.3,897,1616,3XL
104.9,37.9,696,1652,2XL
114.2,35.4,936,1631,3XL
105.5,35.2,857,1561,2XL
87.2,40.5,588,1683,M
87.3,36.6,580,1548,M
93.4,37.9,697,1714,L
110.1,36.9,842,1596,3XL
116.8,37.7,1047,1701,3XL
115.4,37.7,766,1634,3XL
99.1,33.0,676,1549,XL
93.1,39.6,753,1733,L
88.6,37.9,517,1560,M
111.3,39.0,898,1809,3XL
105.9,37.6,657,1594,2XL
112.5,36.3,786,1587,3XL
93.5,34.3,641,1691,L
104.2,34.9,668,1561,2XL
86.5,38.3,577,1721,M
104.7,35.7,652,1583,2XL
99.4,36.0,699,1604,XL
80.2,34.3,474,1533,S
93.1,36.0,558,1594,L
