chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
1139,409,XL,M,conflict
1079,393,L,S,conflict
1174,444,XXL,XXL,match
899,413,XS,M,conflict
1203,448,XXL,XXL,match
1009,432,M,XL,conflict
961,416,S,L,conflict
1077,405,L,M,conflict
1163,431,XL,XL,match
1179,421,XXL,L,conflict
1016,422,M,L,conflict
1163,433,XL,XL,match
1053,421,M,L,conflict
1050,388,M,S,conflict
1105,421,L,L,match
997,411,M,M,match
1103,414,L,M,conflict
1098,423,L,L,match
912,394,XS,S,conflict
1181,406,XXL,M,conflict
1031,418,M,L,conflict
1067,414,L,M,conflict
968,425,S,L,conflict
1033,412,M,M,match
909,441,XS,XL,conflict
1111,417,L,L,match
1106,407,L,M,conflict
1183,419,XXL,L,conflict
1208,455,XXL,XXXL,conflict
1010,402,M,S,conflict
1147,411,XL,M,conflict
1135,424,XL,L,conflict
1309,433,XXXL,XL,conflict
1177,423,XXL,L,conflict
981,442,S,XXL,conflict
1097,406,L,M,conflict
1016,415,M,M,match
1100,382,L,XS,conflict
1227,425,XXL,L,conflict
1156,401,XL,S,conflict
1019,407,M,M,match
1131,417,XL,L,conflict
957,394,S,S,match
1174,421,XXL,L,conflict
1121,427,XL,L,conflict
1060,416,L,L,match
1102,421,L,L,match
1033,398,M,S,conflict
1075,396,L,S,conflict
1131,453,XL,XXXL,conflict
1068,435,L,XL,conflict
1148,407,XL,M,conflict
1099,420,L,L,match
1107,405,L,M,conflict
1176,431,XXL,XL,conflict
1062,425,L,L,match
1036,402,M,S,conflict
1100,412,L,M,conflict
1092,420,L,L,match
1158,441,XL,XL,match
939,406,S,M,conflict
1142,410,XL,M,conflict
1050,417,M,L,conflict
973,437,S,XL,conflict
927,428,S,L,conflict
1257,456,XXXL,XXXL,match
1075,395,L,S,conflict
1010,419,M,L,conflict
1029,392,M,S,conflict
1063,407,L,M,conflict
953,428,S,L,conflict
1008,421,M,L,conflict
1036,436,M,XL,conflict
1018,446,M,XXL,conflict
1047,416,M,L,conflict
1048,412,M,M,match
1034,448,M,XXL,conflict
1011,441,M,XL,conflict
1106,430,L,XL,conflict
951,400,S,S,match
964,382,S,XS,conflict
1011,423,M,L,conflict
967,445,S,XXL,conflict
988,441,S,XL,conflict
1277,436,XXXL,XL,conflict
1120,421,XL,L,conflict
997,413,M,M,match
872,405,XS,M,conflict
1108,423,L,L,match
953,429,S,XL,conflict
1086,424,L,L,match
1090,407,L,M,conflict
1038,426,M,L,conflict
942,394,S,S,match
1022,438,M,XL,conflict
1213,439,XXL,XL,conflict
922,416,XS,L,conflict
977,413,S,M,conflict
1168,427,XL,L,conflict
948,413,S,M,conflict
1007,442,M,XXL,conflict
977,442,S,XXL,conflict
990,433,S,XL,conflict
975,400,S,S,match
1161,445,XL,XXL,conflict
930,389,S,S,match
1213,459,XXL,XXXL,conflict
1061,408,L,M,conflict
1008,430,M,XL,conflict
1015,406,M,M,match
1004,404,M,M,match
944,384,S,XS,conflict
1083,433,L,XL,conflict
1201,426,XXL,L,conflict
1064,416,L,L,match
1011,395,M,S,conflict
1095,457,L,XXXL,conflict
964,418,S,L,conflict
953,411,S,M,conflict
1052,425,M,L,conflict
1070,429,L,XL,conflict
1041,376,M,XS,conflict
1013,414,M,M,match
1088,428,L,L,match
968,403,S,S,match
1301,438,XXXL,XL,conflict
1009,417,M,L,conflict
1023,391,M,S,conflict
1136,408,XL,M,conflict
1147,434,XL,XL,match
1037,400,M,S,conflict
1131,410,XL,M,conflict
1192,443,XXL,XXL,match
1111,416,L,L,match
1117,399,L,S,conflict
1153,429,XL,XL,match
1093,410,L,M,conflict
1063,421,L,L,match
1112,401,L,S,conflict
1150,404,XL,M,conflict
1158,415,XL,M,conflict
1158,411,XL,M,conflict
1073,393,L,S,conflict
1084,428,L,L,match
1010,418,M,L,conflict
1069,416,L,L,match
1056,406,M,M,match
1217,425,XXL,L,conflict
1133,431,XL,XL,match
1135,411,XL,M,conflict
1184,414,XXL,M,conflict
1186,425,XXL,L,conflict
1067,406,L,M,conflict
1121,409,XL,M,conflict
1114,443,L,XXL,conflict
1105,412,L,M,conflict
1028,402,M,S,conflict
1158,402,XL,S,conflict
1097,410,L,M,conflict
1115,404,L,M,conflict
1120,392,XL,S,conflict
990,379,S,XS,conflict
1025,403,M,S,conflict
1191,454,XXL,XXXL,conflict
1054,414,M,M,match
1165,422,XL,L,conflict
1080,410,L,M,conflict
1010,431,M,XL,conflict
1089,426,L,L,match
983,403,S,S,match
1068,397,L,S,conflict
1067,390,L,S,conflict
1092,423,L,L,match
1099,423,L,L,match
1003,381,M,XS,conflict
991,415,S,M,conflict
1137,412,XL,M,conflict
1058,418,L,L,match
1152,412,XL,M,conflict
1067,402,L,S,conflict
1181,423,XXL,L,conflict
988,395,S,S,match
1113,442,L,XXL,conflict
1103,442,L,XXL,conflict
1160,419,XL,L,conflict
1069,399,L,S,conflict
1122,424,XL,L,conflict
