chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
1032,376,XL,L,conflict
981,362,L,M,conflict
1113,400,XXL,XXL,match
860,384,S,XL,conflict
1068,394,XXL,XXL,match
1025,389,XL,XL,match
925,352,M,S,conflict
927,360,M,M,match
873,363,S,M,conflict
948,369,L,L,match
982,404,L,XXXL,conflict
1029,370,XL,L,conflict
965,374,L,L,match
1028,404,XL,XXXL,conflict
891,368,M,L,conflict
997,376,L,L,match
1016,378,XL,L,conflict
1008,353,XL,S,conflict
997,369,L,L,match
902,372,M,L,conflict
972,347,L,S,conflict
960,355,L,M,conflict
912,369,M,L,conflict
1079,370,XXL,L,conflict
865,369,S,L,conflict
957,392,L,XXL,conflict
990,387,L,XL,conflict
936,396,M,XXL,conflict
856,342,S,S,match
917,363,M,M,match
930,354,M,M,match
876,337,S,S,match
962,371,L,L,match
882,370,S,L,conflict
891,351,M,S,conflict
902,379,M,XL,conflict
910,395,M,XXL,conflict
923,394,M,XXL,conflict
1072,381,XXL,XL,conflict
987,381,L,XL,conflict
967,364,L,M,conflict
841,344,S,S,match
1008,356,XL,M,conflict
919,346,M,S,conflict
1093,380,XXL,XL,conflict
983,359,L,M,conflict
839,354,S,M,conflict
1027,396,XL,XXL,conflict
925,370,M,L,conflict
1015,391,XL,XXL,conflict
967,351,L,S,conflict
1018,348,XL,S,conflict
862,377,S,L,conflict
846,403,S,XXXL,conflict
1044,348,XL,S,conflict
917,374,M,L,conflict
1057,340,XL,S,conflict
1034,368,XL,L,conflict
864,384,S,XL,conflict
942,383,L,XL,conflict
885,350,S,S,match
1048,367,XL,L,conflict
996,382,L,XL,conflict
988,334,L,XS,conflict
892,376,M,L,conflict
848,366,S,L,conflict
861,373,S,L,conflict
937,375,M,L,conflict
855,351,S,S,match
943,401,L,XXXL,conflict
997,389,L,XL,conflict
936,387,M,XL,conflict
810,355,XS,M,conflict
887,348,S,S,match
897,344,M,S,conflict
961,366,L,L,match
1004,394,XL,XXL,conflict
972,355,L,M,conflict
971,370,L,L,match
913,375,M,L,conflict
858,359,S,M,conflict
946,352,L,S,conflict
920,361,M,M,match
902,369,M,L,conflict
970,360,L,M,conflict
911,380,M,XL,conflict
926,360,M,M,match
892,375,M,L,conflict
971,332,L,XS,conflict
1117,412,XXL,XXXL,conflict
943,354,L,M,conflict
981,374,L,L,match
892,364,M,M,match
1000,397,XL,XXL,conflict
975,382,L,XL,conflict
1005,365,XL,M,conflict
1195,364,XXXL,M,conflict
1016,395,XL,XXL,conflict
901,395,M,XXL,conflict
889,368,S,L,conflict
983,377,L,L,match
883,344,S,S,match
1152,404,XXXL,XXXL,match
1148,368,XXXL,L,conflict
855,353,S,S,match
901,384,M,XL,conflict
983,336,L,S,conflict
968,321,L,XS,conflict
923,353,M,S,conflict
897,368,M,L,conflict
940,403,M,XXXL,conflict
990,363,L,M,conflict
906,352,M,S,conflict
769,368,XS,L,conflict
1010,377,XL,L,conflict
1046,380,XL,XL,match
895,372,M,L,conflict
997,336,L,S,conflict
846,351,S,S,match
904,389,M,XL,conflict
991,370,L,L,match
878,337,S,S,match
957,355,L,M,conflict
876,357,S,M,conflict
955,390,L,XXL,conflict
1062,378,XXL,L,conflict
932,356,M,M,match
928,394,M,XXL,conflict
850,349,S,S,match
838,362,S,M,conflict
938,402,M,XXXL,conflict
1004,363,XL,M,conflict
905,376,M,L,conflict
918,342,M,S,conflict
859,354,S,M,conflict
880,345,S,S,match
829,375,S,L,conflict
945,407,L,XXXL,conflict
825,351,S,S,match
985,374,L,L,match
998,352,L,S,conflict
1016,391,XL,XXL,conflict
845,376,S,L,conflict
878,361,S,M,conflict
902,352,M,S,conflict
884,371,S,L,conflict
837,376,S,L,conflict
923,316,M,XS,conflict
905,376,M,L,conflict
851,378,S,L,conflict
992,370,L,L,match
1021,380,XL,XL,match
824,350,XS,S,conflict
974,422,L,XXXL,conflict
783,360,XS,M,conflict
945,365,L,M,conflict
975,362,L,M,conflict
1013,391,XL,XXL,conflict
970,359,L,M,conflict
838,364,S,M,conflict
923,368,M,L,conflict
1009,376,XL,L,conflict
1029,411,XL,XXXL,conflict
832,368,S,L,conflict
782,337,XS,S,conflict
885,348,S,S,match
988,394,L,XXL,conflict
833,356,S,M,conflict
919,341,M,S,conflict
926,344,M,S,conflict
870,348,S,S,match
872,330,S,XS,conflict
838,357,S,M,conflict
845,322,S,XS,conflict
930,361,M,M,match
845,342,S,S,match
1007,391,XL,XXL,conflict
908,364,M,M,match
975,383,L,XL,conflict
1080,365,XXL,M,conflict
996,418,L,XXXL,conflict
773,365,XS,M,conflict
996,372,L,L,match
935,399,M,XXL,conflict
965,393,L,XXL,conflict
995,368,L,L,match
862,387,S,XL,conflict
856,374,S,L,conflict
964,365,L,M,conflict
969,379,L,XL,conflict
839,380,S,XL,conflict
803,366,XS,L,conflict
918,377,M,L,conflict
914,349,M,S,conflict
820,348,XS,S,conflict
1006,338,XL,S,conflict
970,408,L,XXXL,conflict
882,333,S,XS,conflict
909,349,M,S,conflict
996,359,L,M,conflict
908,375,M,L,conflict
786,332,XS,XS,match
935,388,M,XL,conflict
897,352,M,S,conflict
906,366,M,L,conflict
850,374,S,L,conflict
929,378,M,L,conflict
892,393,M,XXL,conflict
798,372,XS,L,conflict
933,364,M,M,match
841,352,S,S,match
812,351,XS,S,conflict
843,391,S,XXL,conflict
936,383,M,XL,conflict
945,359,L,M,conflict
784,353,XS,S,conflict
804,346,XS,S,conflict
932,390,M,XXL,conflict
927,367,M,L,conflict
783,352,XS,S,conflict
846,365,S,M,conflict
909,368,M,L,conflict
1121,371,XXXL,L,conflict
892,384,M,XL,conflict
814,356,XS,M,conflict
939,366,M,L,conflict
933,353,M,S,conflict
894,322,M,XS,conflict
957,387,L,XL,conflict
787,346,XS,S,conflict
853,364,S,M,conflict
989,365,L,M,conflict
927,374,M,L,conflict
883,369,S,L,conflict
930,358,M,M,match
862,372,S,L,conflict
877,333,S,XS,conflict
830,355,S,M,conflict
798,339,XS,S,conflict
955,376,L,L,match
958,384,L,XL,conflict
787,353,XS,S,conflict
802,349,XS,S,conflict
917,342,M,S,conflict
942,380,L,XL,conflict
947,339,L,S,conflict
902,374,M,L,conflict
825,360,S,M,conflict
844,350,S,S,match
888,351,S,S,match
824,364,XS,M,conflict
843,359,S,M,conflict
915,392,M,XXL,conflict
958,383,L,XL,conflict
880,376,S,L,conflict
1011,351,XL,S,conflict
803,329,XS,XS,match
914,354,M,M,match
848,349,S,S,match
867,354,S,M,conflict
909,359,M,M,match
1110,372,XXL,L,conflict
975,357,L,M,conflict
1018,350,XL,S,conflict
1068,383,XXL,XL,conflict
958,365,L,M,conflict
1212,379,XXXL,XL,conflict
1004,339,XL,S,conflict
1052,406,XL,XXXL,conflict
1073,363,XXL,M,conflict
910,363,M,M,match
1057,377,XL,L,conflict
1043,352,XL,S,conflict
902,371,M,L,conflict
909,366,M,L,conflict
783,357,XS,M,conflict
1036,357,XL,M,conflict
965,376,L,L,match
830,369,S,L,conflict
1077,338,XXL,S,conflict
945,372,L,L,match
943,358,L,M,conflict
948,375,L,L,match
953,349,L,S,conflict
975,367,L,L,match
923,348,M,S,conflict
881,352,S,S,match
986,363,L,M,conflict
988,346,L,S,conflict
896,349,M,S,conflict
823,345,XS,S,conflict
935,396,M,XXL,conflict
932,333,M,XS,conflict
883,348,S,S,match
813,366,XS,L,conflict
954,385,L,XL,conflict
884,375,S,L,conflict
865,382,S,XL,conflict
869,334,S,XS,conflict
927,386,M,XL,conflict
896,374,M,L,conflict
946,367,L,L,match
950,390,L,XXL,conflict
895,355,M,M,match
910,375,M,L,conflict
876,345,S,S,match
962,369,L,L,match
910,368,M,L,conflict
863,367,S,L,conflict
896,384,M,XL,conflict
898,358,M,M,match
921,356,M,M,match
914,388,M,XL,conflict
920,338,M,S,conflict
869,378,S,L,conflict
860,322,S,XS,conflict
951,378,L,L,match
936,375,M,L,conflict
1017,371,XL,L,conflict
844,361,S,M,conflict
1000,352,XL,S,conflict
832,362,S,M,conflict
888,361,S,M,conflict
895,340,M,S,conflict
919,376,M,L,conflict
906,397,M,XXL,conflict
865,360,S,M,conflict
950,391,L,XXL,conflict
906,371,M,L,conflict
908,358,M,M,match
906,388,M,XL,conflict
815,355,XS,M,conflict
952,385,L,XL,conflict
775,360,XS,M,conflict
815,352,XS,S,conflict
956,367,L,L,match
927,375,M,L,conflict
855,357,S,M,conflict
900,355,M,M,match
946,396,L,XXL,conflict
882,371,S,L,conflict
973,396,L,XXL,conflict
848,344,S,S,match
903,378,M,L,conflict
815,359,XS,M,conflict
883,378,S,L,conflict
902,364,M,M,match
930,362,M,M,match
866,368,S,L,conflict
931,357,M,M,match
826,373,S,L,conflict
847,384,S,XL,conflict
857,381,S,XL,conflict
920,368,M,L,conflict
784,376,XS,L,conflict
840,368,S,L,conflict
1025,383,XL,XL,match
794,378,XS,L,conflict
945,368,L,L,match
890,367,M,L,conflict
957,343,L,S,conflict
1008,359,XL,M,conflict
998,352,L,S,conflict
909,375,M,L,conflict
982,337,L,S,conflict
1018,358,XL,M,conflict
796,359,XS,M,conflict
1112,390,XXL,XXL,match
913,384,M,XL,conflict
884,327,S,XS,conflict
1073,360,XXL,M,conflict
